"110";"kc.evans";"21-25";"Science/Math";"3-3.5";"3";"5";"3";"Male";"5"
"112";"CTs";"21-25";"Engineering";"3.5++";"3";"4";"3";"Male";"4"
"113";"C";"21-25";"Science/Math";"3.5++";"3";"4";"3";"Male";"4"
"114";"TEST2";"30++";"Engineering";"2-2.5";"5";"4";"2";"Male";"4"
"115";"Kekule";"21-25";"Engineering";"3.5++";"3";"3";"2";"Non binary";"2"
"116";"TAS";"30++";"Engineering";"3.5++";"3";"4";"2";"Female";"5"
"117";"mchase";"21-25";"Science/Math";"3.5++";"3";"4";"4";"Female";"3"
"118";"kensthenry";"21-25";"Other";"2-2.5";"3";"3";"5";"Female";"5"
"119";"ululu";"15-20";"Humanities";"2-2.5";"1";"2";"1";"Male";"1"
"120";"DK757";"21-25";"Humanities";"2-2.5";"4";"4";"2";"Male";"3"
"121";"THorn";"21-25";"Humanities";"3-3.5";"4";"4";"3";"Male";"3"
"122";"natalidilts";"21-25";"Science/Math";"3-3.5";"1";"4";"4";"Female";"5"
"123";"Nate";"21-25";"Humanities";"3-3.5";"3";"5";"3";"Male";"2"
"124";"ft0rty";"15-20";"Engineering";"3.5++";"5";"3";"4";"Male";"1"
"125";"TheGreat";"21-25";"Other";"3.5++";"1";"4";"3";"Refuse to state";"1"
"126";"Nate G";"21-25";"Engineering";"3-3.5";"4";"4";"3";"Male";"2"
"128";"ukruk";"15-20";"Engineering";"2-2.5";"1";"2";"3";"Female";"3"
"143";"LukeM";"21-25";"Humanities";"2.5-3";"2";"4";"3";"Male";"5"
"144";"sheesh";"21-25";"Science/Math";"3-3.5";"3";"3";"2";"Male";"5"
"145";"Jake";"26-30";"Science/Math";"3-3.5";"4";"3";"2";"Male";"3"
"146";"isabelle";"21-25";"Engineering";"3.5++";"4";"4";"3";"Female";"5"
"147";"DC";"30++";"Engineering";"3.5++";"3";"4";"3";"Male";"3"
"149";"jmbrown";"30++";"Engineering";"3.5++";"2";"4";"2";"Male";"3"
"150";"220090";"21-25";"Engineering";"3.5++";"4";"3";"3";"Male";"5"
"151";"dchris167";"21-25";"Science/Math";"2.5-3";"1";"5";"2";"Male";"5"
"155";"m224212";"15-20";"Science/Math";"3.5++";"1";"5";"1";"Male";"5"
"152";"Broph";"21-25";"Science/Math";"3.5++";"3";"4";"2";"Male";"5"
"157";"dchris167";"21-25";"Science/Math";"2.5-3";"1";"5";"1";"Male";"5"
"158";"s";"15-20";"Science/Math";"3.5++";"3";"5";"3";"Female";"5"
"159";"Broke";"15-20";"Engineering";"3.5++";"3";"4";"3";"Male";"4"
"160";"Fabio sinclair";"21-25";"Humanities";"3-3.5";"1";"5";"2";"Male";"4"
"161";"test";"21-25";"Engineering";"3.5++";"1";"2";"2";"Non binary";"4"
"162";"m220240";"15-20";"Science/Math";"2.5-3";"2";"2";"3";"Female";"3"
"163";"steinshark";"21-25";"Science/Math";"3-3.5";"3";"3";"2";"Male";"1"
"164";"Big W";"21-25";"Science/Math";"3.5++";"4";"5";"3";"Male";"4"
"165";"Yoda";"30++";"Engineering";"3.5++";"4";"5";"3";"Female";"3"
"166";"tmcosby";"21-25";"Science/Math";"3-3.5";"3";"4";"3";"Male";"4"
"167";"Benji";"21-25";"Science/Math";"3-3.5";"4";"5";"3";"Male";"2"
"168";"bdubs";"21-25";"Other";"2.5-3";"2";"2";"2";"Male";"4"
"169";"BOSSMAN115";"21-25";"Engineering";"3.5++";"4";"4";"1";"Male";"5"
"170";"Flux";"15-20";"Engineering";"3.5++";"3";"3";"4";"Male";"3"
"171";"rl18";"15-20";"Engineering";"3.5++";"4";"4";"3";"Male";"3"
"172";"rl";"15-20";"Engineering";"3.5++";"4";"4";"3";"Male";"3"
"173";"Angie";"30++";"Other";"3-3.5";"3";"4";"3";"Female";"5"
"174";"kurtbrophy";"21-25";"Science/Math";"3.5++";"3";"4";"4";"Male";"5"
"175";"Navy2022";"21-25";"Science/Math";"3.5++";"2";"4";"2";"Male";"3"
"176";"agent0";"21-25";"Science/Math";"3.5++";"3";"4";"2";"Male";"5"
"177";"Glea";"21-25";"Other";"2.5-3";"3";"5";"4";"Male";"4"
"178";"dmiller";"21-25";"Science/Math";"3.5++";"3";"3";"3";"Male";"3"
"179";"tbrooks";"21-25";"Science/Math";"3.5++";"4";"2";"2";"Male";"4"
"180";"jules";"21-25";"Science/Math";"2.5-3";"2";"4";"4";"Female";"1"
"180";"jules";"21-25";"Science/Math";"2.5-3";"2";"4";"4";"Female";"4"
"181";"jpiep";"30++";"Engineering";"3.5++";"3";"5";"4";"Female";"3"
"182";"Keen";"21-25";"Science/Math";"3-3.5";"4";"4";"5";"Male";"5"
"183";"sk";"30++";"Engineering";"3.5++";"4";"4";"3";"Male";"2"
"184";"schaus";"30++";"Engineering";"3.5++";"4";"4";"3";"Male";"3"
"185";"matthew.rehberg";"30++";"Engineering";"3.5++";"4";"4";"3";"Male";"3"
"186";"hcreech";"21-25";"Science/Math";"3.5++";"3";"3";"1";"Female";"5"
"187";"andrew";"21-25";"Science/Math";"3.5++";"4";"5";"4";"Male";"2"
"190";"watermelon";"21-25";"Other";"2.5-3";"3";"4";"2";"Male";"3"
"188";"123456";"21-25";"Humanities";"3.5++";"3";"4";"4";"Male";"4"
"189";"Kevin";"21-25";"Humanities";"2.5-3";"4";"4";"3";"Male";"5"
"191";"gazzelle";"21-25";"Science/Math";"3.5++";"3";"4";"4";"Male";"3"
"192";"zeus";"21-25";"Other";"3.5++";"4";"4";"2";"Male";"4"
"193";"b emoji";"21-25";"Science/Math";"3.5++";"5";"5";"3";"Male";"5"
"194";"Beth";"21-25";"Engineering";"3.5++";"2";"4";"3";"Female";"3"
"195";"b emoji";"21-25";"Science/Math";"3.5++";"5";"5";"1";"Male";"5"
"196";"acimaglia";"30++";"Other";"3.5++";"5";"3";"3";"Female";"4"
"198";"👍";"0-14";"Engineering";"3.5++";"1";"5";"2";"Refuse to state";"5"
"199";"m236744";"21-25";"Engineering";"3.5++";"4";"4";"2";"Male";"3"
"200";"Charley";"21-25";"Science/Math";"3-3.5";"2";"5";"5";"Male";"5"
"201";"b@c0n";"15-20";"Humanities";"3-3.5";"4";"4";"2";"Male";"5"
"202";"Jack Masterson";"15-20";"Science/Math";"3-3.5";"3";"3";"2";"Male";"5"
"203";"HYYY";"21-25";"Science/Math";"3-3.5";"4";"4";"4";"Male";"4"
"204";"hcb2911";"21-25";"Humanities";"3-3.5";"4";"5";"3";"Male";"2"
"205";"A";"21-25";"Science/Math";"3.5++";"4";"4";"3";"Female";"5"
"206";"parnold25x2";"15-20";"Humanities";"3.5++";"3";"3";"2";"Male";"1"
"207";"KRK";"30++";"Humanities";"3.5++";"4";"4";"2";"Female";"2"
"208";"alext34";"21-25";"Engineering";"2.5-3";"5";"4";"4";"Male";"3"
"209";"CDT";"15-20";"Science/Math";"3-3.5";"3";"5";"3";"Male";"2"
"210";"Perry";"15-20";"Engineering";"3-3.5";"3";"3";"2";"Female";"2"
"211";"m231326";"15-20";"Engineering";"3.5++";"2";"3";"2";"Male";"3"
"212";"m233000";"21-25";"Humanities";"3-3.5";"3";"4";"4";"Male";"3"
"213";"NotBorisAtud";"21-25";"Engineering";"2.5-3";"3";"4";"1";"Male";"2"
"214";"Willy";"21-25";"Engineering";"3.5++";"4";"3";"3";"Male";"1"
"215";"Yusuf";"21-25";"Engineering";"2.5-3";"3";"3";"3";"Male";"5"
"216";"m233576";"21-25";"Humanities";"3.5++";"2";"2";"4";"Female";"1"
"217";"m223762";"21-25";"Science/Math";"3-3.5";"4";"4";"4";"Male";"4"
"218";"Yusuf";"21-25";"Engineering";"2-2.5";"3";"3";"3";"Male";"5"
"220";"rdbailey";"21-25";"Science/Math";"2.5-3";"5";"2";"1";"Male";"4"
"221";"Nate0101";"15-20";"Science/Math";"3-3.5";"2";"2";"1";"Male";"3"
"222";"m220390";"21-25";"Science/Math";"2.5-3";"4";"3";"2";"Male";"5"
"223";"Joe";"21-25";"Science/Math";"3.5++";"4";"4";"2";"Male";"2"
"224";"whr2000";"15-20";"Science/Math";"3.5++";"3";"4";"2";"Male";"4"
"225";"chestnut";"21-25";"Engineering";"3.5++";"5";"4";"2";"Male";"3"
"226";"lbrodnik";"21-25";"Science/Math";"2.5-3";"1";"3";"2";"Male";"5"
"227";"amy";"21-25";"Other";"3-3.5";"3";"3";"2";"Female";"4"
"231";"midscruz";"21-25";"Engineering";"3-3.5";"3";"3";"2";"Male";"1"
"232";"Gavin McJones";"15-20";"Engineering";"2.5-3";"5";"3";"2";"Male";"3"
"229";"jared";"21-25";"Science/Math";"3.5++";"2";"3";"2";"Male";"5"
"233";"Swagmaster";"21-25";"Engineering";"3.5++";"2";"4";"1";"Refuse to state";"5"
"234";"DougSux";"21-25";"Engineering";"3.5++";"1";"5";"1";"Non binary";"1"
"235";"Charley";"21-25";"Science/Math";"3-3.5";"2";"5";"5";"Male";"5"
"236";"LT Springer";"30++";"Engineering";"3.5++";"2";"4";"2";"Male";"3"
"237";"Peytonfcampbell";"15-20";"Humanities";"2-2.5";"3";"4";"2";"Female";"2"
"238";"m243456";"15-20";"Science/Math";"3.5++";"2";"5";"4";"Male";"2"
"239";"peyton";"15-20";"Humanities";"2-2.5";"3";"3";"2";"Female";"2"
"240";"ianEllis";"15-20";"Science/Math";"3-3.5";"3";"2";"1";"Male";"3"
"241";"Nugget";"21-25";"Science/Math";"3-3.5";"3";"3";"2";"Female";"5"
"242";"helloworld";"15-20";"Engineering";"3.5++";"3";"4";"5";"Female";"1"
"244";"avsamloff@gmail.com";"21-25";"Humanities";"3-3.5";"4";"3";"5";"Female";"1"
"243";"Taiyo";"15-20";"Science/Math";"2-2.5";"4";"5";"3";"Male";"3"
"245";"AAron0408";"21-25";"Humanities";"2.5-3";"3";"5";"2";"Male";"4"
"246";"JSchu72";"21-25";"Engineering";"3-3.5";"3";"4";"3";"Male";"5"
"247";"thomas";"15-20";"Engineering";"3.5++";"3";"4";"2";"Male";"3"
"248";"Boris_is_Great";"15-20";"Engineering";"3.5++";"2";"3";"3";"Male";"5"
"249";"Erik";"21-25";"Engineering";"3.5++";"4";"3";"2";"Male";"3"
"250";"CGuapo";"15-20";"Humanities";"2.5-3";"4";"3";"4";"Male";"5"
"251";"jpetti72";"21-25";"Science/Math";"2.5-3";"2";"3";"2";"Male";"1"
"252";"jmast";"15-20";"Science/Math";"3-3.5";"3";"3";"3";"Male";"5"
"254";"Lizzy";"21-25";"Humanities";"3.5++";"2";"2";"3";"Female";"1"
"253";"Ryan";"15-20";"Science/Math";"2.5-3";"4";"5";"4";"Male";"2"
"255";"Max_Wilson";"15-20";"Engineering";"3.5++";"4";"3";"5";"Male";"2"
"256";"baldy_jr";"21-25";"Science/Math";"3.5++";"3";"4";"5";"Male";"3"
"259";"Erik";"21-25";"Engineering";"3.5++";"4";"3";"2";"Male";"3"
"258";"midhunter";"21-25";"Humanities";"3-3.5";"2";"4";"3";"Male";"2"
"260";"EP";"21-25";"Engineering";"3.5++";"4";"3";"2";"Male";"3"
"261";"mpost";"15-20";"Engineering";"3.5++";"4";"4";"4";"Male";"3"
"262";"CDT";"21-25";"Science/Math";"3-3.5";"3";"3";"3";"Male";"2"
"263";"Nemesis";"21-25";"Science/Math";"2-2.5";"1";"1";"2";"Male";"3"
"264";"clay";"15-20";"Science/Math";"3.5++";"4";"2";"2";"Male";"5"
"266";"LSG";"21-25";"Humanities";"2.5-3";"3";"4";"4";"Male";"3"
"267";"cpa";"15-20";"Science/Math";"3.5++";"3";"3";"3";"Female";"5"
"268";"ceceliarech";"15-20";"Science/Math";"3-3.5";"4";"5";"4";"Female";"4"
"269";"player1";"15-20";"Science/Math";"3.5++";"2";"4";"3";"Female";"2"
"270";"Bofa";"30++";"Other";"2-2.5";"5";"1";"1";"Refuse to state";"1"
"272";"jackd";"15-20";"Humanities";"3.5++";"3";"3";"3";"Male";"2"
"273";"244806";"15-20";"Science/Math";"3-3.5";"2";"4";"4";"Female";"1"
"274";"R";"21-25";"Science/Math";"3-3.5";"2";"3";"3";"Male";"3"
"275";"Lance19";"21-25";"Engineering";"3-3.5";"3";"3";"3";"Male";"2"
"277";"m23394";"21-25";"Science/Math";"3.5++";"2";"4";"3";"Male";"5"
"278";"jozgar";"15-20";"Science/Math";"3.5++";"4";"5";"3";"Male";"4"
"279";"m224206";"21-25";"Engineering";"3.5++";"4";"3";"2";"Male";"2"
"280";"Ivan";"15-20";"Science/Math";"3.5++";"3";"5";"3";"Male";"4"
"281";"mebe";"15-20";"Science/Math";"2-2.5";"4";"4";"3";"Female";"5"
"282";"mebe";"15-20";"Engineering";"2-2.5";"3";"3";"3";"Female";"5"
"283";"ami";"21-25";"Science/Math";"3-3.5";"3";"3";"4";"Female";"5"
"284";"Chris_cw26";"15-20";"Science/Math";"3-3.5";"4";"3";"3";"Male";"5"
"285";"Tano Trevino";"21-25";"Engineering";"3-3.5";"1";"3";"2";"Male";"2"
"286";"Blake23";"21-25";"Humanities";"3-3.5";"4";"5";"3";"Male";"3"
"287";"asciotto";"21-25";"Science/Math";"2.5-3";"2";"3";"2";"Male";"1"
"288";"Gio";"21-25";"Other";"3-3.5";"3";"3";"1";"Male";"3"
"289";"m235778";"21-25";"Science/Math";"2.5-3";"2";"5";"5";"Male";"5"
"290";"b22";"21-25";"Science/Math";"2.5-3";"4";"5";"3";"Male";"1"
"291";"James";"21-25";"Engineering";"3.5++";"3";"5";"3";"Male";"5"
"292";"John";"15-20";"Science/Math";"3.5++";"3";"4";"2";"Male";"1"
"293";"crag23";"21-25";"Engineering";"3.5++";"2";"3";"3";"Female";"4"
"294";"nviv";"15-20";"Engineering";"3-3.5";"3";"4";"3";"Female";"4"
"295";"dg15";"21-25";"Humanities";"3-3.5";"3";"2";"4";"Male";"3"
"296";"dd31";"15-20";"Engineering";"3-3.5";"3";"2";"2";"Male";"1"
"297";"m225694";"21-25";"Humanities";"3-3.5";"3";"3";"5";"Female";"1"
"298";"nvassou";"21-25";"Humanities";"2.5-3";"2";"3";"4";"Female";"2"
"299";"ami";"21-25";"Science/Math";"3-3.5";"3";"3";"4";"Female";"5"
"300";"genesisr";"15-20";"Engineering";"3-3.5";"3";"3";"3";"Female";"4"
"301";"m236162";"15-20";"Humanities";"3-3.5";"3";"4";"3";"Male";"4"
"302";"ccarson26";"21-25";"Science/Math";"2.5-3";"3";"5";"4";"Male";"4"
"303";"kat";"21-25";"Science/Math";"3-3.5";"4";"3";"2";"Female";"2"
