1	useridc	idcage	idcfield	idgp	trustidc	feelidc	2	genderidc	rec
1	m226318@vs	0-14	Humanities	2-2.5	1	sad	1	Male	1
1	up0p@tyty	15-20	Science/Math	2-2.5	1	sad	1	Male	3
1	up0p@tyty	15-20	Science/Math	2-2.5	1	sad	1	Male	3
1	m226318@vsphere.local	0-14	Science/Math	2-2.5	1	sad	1	Male	1
1	m226318@vsphere.local	0-14	Humanities	2-2.5	1	sad	2	Male	1
1	m226318@vsphere.local	0-14	Science/Math	2-2.5	1	neutral	2	Male	1
1	m226318@vsphere.local	0-14	Science/Math	2-2.5	1	neutral	1	Female	2
1	m226318@vsphere.local	0-14	Humanities	2-2.5	1	neutral	1	Male	1
1	w	30++	Science/Math	2.5-3	1	2	1	Female	2
1	w	21-25	Science/Math	2-2.5	2	3	5	Male	1
1	dd	15-20	Science/Math	2-2.5	2	1	1	Female	2
1	s	15-20	Other	2-2.5	2	2	2	Female	1
1	m226318	15-20	Humanities	2-2.5	3	1	2	Male	3
1	username	15-20	Science/Math	2-2.5	1	4	2	Female	4
1	brienc	30++	Engineering	3.5++	4	4	2	Male	3
1	test	30++	Engineering	3-3.5	3	2	4	Female	2
1	ddd	15-20	Science/Math	2-2.5	2	2	3	Male	2
1	ddd	15-20	Science/Math	2-2.5	2	2	3	Male	2
1	m220420	21-25	Engineering	2-2.5	5	3	3	Male	4
45	test3	0-14	Science/Math	2.5-3	1	1	2	Female	1
46	qq	15-20	Science/Math	3-3.5	1	4	2	Female	2
47	m226318	0-14	Engineering	2.5-3	1	3	2	Female	1
49	as	0-14	Humanities	2-2.5	1	2	2	Male	3
50	covid22	21-25	Science/Math	2-2.5	5	1	5	Male	1
53	ffdbdf	0-14	Science/Math	2.5-3	1	1	2	Female	1
54	ffdbdf	0-14	Science/Math	2.5-3	2	2	3	Female	2
55	tseverson	30++	Engineering	3.5++	3	4	3	Female	3
57	TEST	26-30	Engineering	2.5-3	4	3	2	Refuse to state	5
58	username	21-25	Science/Math	2.5-3	2	1	2	Other	1
60	as	21-25	Science/Math	3-3.5	1	3	2	Female	1
63	m226318@vsphere.local	15-20	Engineering	2-2.5	1	1	1	Male	1
64	asd	0-14	Science/Math	2-2.5	2	3	2	Male	5
65	yhyhtyhu	21-25	Science/Math	2-2.5	2	2	2	Other	1
68	s	0-14	Humanities	2-2.5	1	1	1	Male	1
69	m226318@vsphere.local	0-14	Humanities	2-2.5	1	1	1	Male	1
70	user	15-20	Humanities	3-3.5	1	1	1	Non binary	1
71	gtgrt	0-14	Science/Math	2-2.5	2	2	2	Non binary	2
72	isfraley	21-25	Humanities	2-2.5	3	4	2	Male	5
73	SpartaBeast99	15-20	Humanities	3-3.5	3	4	2	Male	1
74	Moldy B33f	15-20	Science/Math	3.5++	2	4	4	Male	5
75	Hamill 	15-20	Humanities	2.5-3	3	3	3	Male	3
76	Loren	15-20	Other	3.5++	4	3	1	Female	5
77	255148	15-20	Engineering	3.5++	3	3	2	Male	5
78	A	15-20	Engineering	3.5++	3	4	2	Female	5
79	pink.io	15-20	Science/Math	3.5++	3	4	4	Female	2
80	player101	15-20	Science/Math	3.5++	3	3	2	Female	1
81	elizabethmeyer	15-20	Science/Math	3.5++	3	1	5	Female	2
82	jackalope5043	15-20	Engineering	2.5-3	3	3	3	Male	3
83	Dalton Keglovits	15-20	Science/Math	3.5++	4	4	4	Male	2
84	JJ	15-20	Engineering	3.5++	3	3	3	Male	1
85	m253390	21-25	Engineering	2-2.5	3	4	2	Male	2
86	ANDRESMCCANN	15-20	Science/Math	3-3.5	5	5	3	Male	3
87	qffas	0-14	Humanities	2.5-3	2	2	2	Male	3
88	Andy	15-20	Science/Math	3.5++	4	3	3	Male	1
89	BotKiller	21-25	Humanities	2-2.5	3	1	3	Male	3
90	m226318	15-20	Engineering	2.5-3	2	2	2	Female	2
91	Flyboy	30++	Other	3.5++	4	3	1	Male	3
92	kensthenry	21-25	Other	2-2.5	4	5	5	Female	2
93	kensthenry	21-25	Other	2-2.5	4	3	5	Female	2
